Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,75,576,44,140,12,105,28,5,130,0,0
0.02,65,774,66,106,8,178,52,12,128,0,0
0.02,37,710,18,66,1,27,16,5,98,0,0
0.02,22,418,13,68,1,33,17,5,64,0,0
0.02,48,185,16,68,2,44,15,5,70,0,0
0.02,14,595,8,74,1,15,14,5,40,0,0
0.02,52,445,18,53,2,40,18,5,137,0,0
0.02,43,445,32,42,1,50,43,5,130,0,0
0.02,37,530,27,66,2,49,70,5,93,0,0
0.02,59,515,38,88,1,73,20,5,124,0,0
0.02,28,585,16,55,1,40,17,5,80,0,0
0.02,26,272,15,64,1,26,19,5,81,0,0
0.02,57,413,26,49,2,55,27,5,69,0,0
0.02,63,1200,55,169,1,34,49,5,186,0,0
0.02,60,239,22,59,2,65,15,5,80,0,0
0.02,33,484,33,139,1,162,55,18,181,0,0
0.02,39,370,15,94,2,36,20,5,89,0,0
0.02,46,445,27,82,2,48,24,5,101,0,0
0.02,56,445,22,94,2,57,36,5,147,0,0
0.02,36,537,35,64,1,59,18,5,112,0,0
0.02,45,276,27,70,2,70,14,5,74,0,0
0.02,39,445,23,42,2,43,37,5,129,0,0
0.02,37,685,18,77,1,44,17,5,74,0,0
0.02,36,598,25,100,1,44,17,5,75,0,0
0.02,64,724,46,125,4,128,36,5,124,0,0
0.02,27,681,16,34,1,31,21,5,106,0,0
0.02,61,445,26,71,1,60,28,5,152,0,0
0.02,79,233,20,102,2,66,19,5,103,0,0
0.02,20,371,18,58,1,36,24,5,75,0,0
0.02,37,419,25,67,4,71,20,5,90,0,0
0.02,49,643,38,92,2,96,21,5,87,0,0
0.02,54,240,21,78,8,51,14,5,69,0,0
0.02,33,594,20,87,1,70,14,5,54,0,0
0.02,41,297,20,84,2,48,20,5,63,0,0
0.02,32,445,20,54,2,45,23,5,107,0,0
0.02,31,429,21,51,1,48,26,5,94,0,0
0.02,83,209,22,114,2,64,12,5,77,0,0
0.02,41,445,22,50,1,62,12,5,107,0,0
0.02,41,880,27,99,1,53,27,5,116,0,0
0.02,52,360,27,136,2,87,13,5,60,0,0
0.02,57,618,20,41,1,58,19,5,78,0,0
0.02,55,1200,36,169,4,145,65,13,126,0,0
0.02,24,463,19,49,2,38,12,5,55,0,0
0.02,67,195,17,102,2,54,16,5,80,0,0
0.02,36,651,22,37,2,41,15,5,61,0,0
0.02,42,210,18,45,4,42,10,5,103,0,0
0.02,23,379,18,47,1,42,14,5,83,0,0
0.02,39,659,28,52,1,52,16,5,104,0,0
0.02,38,564,24,86,1,44,15,5,84,0,0
0.02,53,439,23,92,2,40,13,5,53,0,0
0.02,20,418,23,36,2,47,13,5,93,0,0
0.02,39,703,27,80,1,50,25,5,104,0,0
0.02,54,445,27,76,1,65,12,5,95,0,0
0.02,11,412,18,125,1,32,14,5,105,0,0
0.02,31,592,26,28,1,55,16,5,104,0,0
0.02,54,445,26,45,1,57,24,5,87,0,0
0.02,38,772,51,148,1,142,30,5,124,0,0
0.02,45,571,29,129,4,58,23,5,123,0,0
0.02,27,502,21,153,1,31,16,5,123,0,0
0.02,48,445,27,69,1,54,16,5,74,0,0
0.02,66,448,19,51,2,55,23,5,76,0,0
0.02,48,656,27,32,1,46,16,5,79,0,0
0.02,36,380,25,79,1,35,15,5,102,0,0
0.02,34,757,17,58,1,33,15,5,27,0,0
0.02,55,805,29,66,1,71,28,5,108,0,0
0.02,39,425,26,84,2,38,17,5,117,0,0
0.02,46,598,28,223,2,79,18,5,120,0,0
0.02,44,653,30,164,8,58,27,5,130,0,0
0.02,44,483,27,107,2,40,25,5,150,0,0
0.02,20,185,36,42,2,83,14,5,130,0,0
0.02,10,378,12,53,1,11,8,5,95,0,0
0.02,28,233,39,50,2,104,13,5,103,0,0
0.02,21,381,12,52,1,9,2,5,71,0,0
0.02,23,359,21,143,1,32,19,5,163,0,0
0.02,23,475,18,105,1,24,11,5,85,0,0
0.02,34,811,40,113,2,38,23,5,93,0,0
0.02,34,566,20,132,2,33,13,5,136,0,0
0.02,35,441,39,68,2,106,20,5,109,0,0
0.02,27,492,24,125,1,34,12,10,111,0,0
0.02,19,415,13,68,2,18,13,5,105,0,0
0.02,43,421,33,52,1,92,14,5,63,0,0
0.02,29,368,34,47,2,121,20,5,94,0,0
0.02,25,356,26,198,1,40,15,10,133,0,0
0.02,33,437,34,54,2,105,32,5,96,0,0
0.02,26,702,15,117,1,21,13,5,116,0,0
0.02,48,699,50,74,2,46,28,5,49,0,0
0.02,47,394,44,106,1,47,18,5,55,0,0
0.02,41,548,18,173,2,32,18,5,155,0,0
0.02,21,594,21,75,1,47,16,5,95,0,0
0.02,33,342,26,25,4,16,16,5,62,0,0
0.02,29,544,20,118,1,31,14,5,126,0,0
0.02,29,292,39,53,2,40,12,5,78,0,0
0.02,53,664,46,211,2,55,17,5,85,0,0
0.02,29,389,18,21,1,8,16,5,66,0,0
0.02,14,420,17,40,2,33,6,5,39,0,0
0.02,48,429,61,101,2,94,20,5,97,0,0
0.02,10,413,29,86,1,13,10,5,29,0,0
0.02,22,545,29,81,4,55,16,5,147,0,0
0.02,45,492,29,49,2,58,14,5,101,0,0
0.02,44,751,45,173,2,53,22,5,46,0,0
0.02,33,450,28,42,4,15,16,5,70,0,0
0.02,34,278,34,47,1,106,17,5,80,0,0
0.02,60,811,45,79,1,37,12,5,45,0,0
0.02,29,485,14,220,1,22,12,5,119,0,0
0.02,127,360,30,37,2,71,17,5,64,0,0
0.02,34,380,19,25,1,8,20,5,63,0,0
0.02,35,426,14,19,1,16,27,5,60,0,0
0.02,39,556,31,35,2,58,35,5,111,0,0
0.02,51,665,46,191,1,57,14,5,45,0,0
0.02,17,493,38,66,2,31,17,5,76,0,0
0.02,22,471,36,62,1,26,15,5,32,0,0
0.02,47,508,33,56,2,122,26,5,82,0,0
0.02,139,639,52,67,2,152,219,5,86,0,0
0.02,58,548,49,78,2,91,44,5,286,0,0
0.02,19,358,20,31,2,38,7,5,51,0,0
0.02,15,319,16,40,2,36,6,5,31,0,0
0.02,34,583,44,81,1,112,9,5,73,0,0
0.02,22,315,26,64,2,55,2,5,30,0,0
0.02,20,272,28,33,1,48,9,5,91,0,0
0.02,25,537,31,62,2,82,10,5,72,0,0
0.02,18,573,53,74,1,55,21,5,48,0,0
0.02,13,305,13,24,2,5,13,5,65,0,0
0.02,38,516,39,85,2,88,8,5,101,0,0
0.02,18,537,24,73,2,55,22,5,126,0,0
0.02,51,1200,18,33,4,44,41,5,90,0,0
0.02,48,482,20,68,2,45,29,5,101,0,0
0.02,28,485,24,62,2,49,21,5,129,0,0
0.02,11,546,24,56,2,50,11,5,78,0,0
0.02,65,609,44,110,8,48,43,5,52,0,0
0.02,14,482,22,52,2,48,46,5,90,0,0
0.02,17,428,22,62,1,41,19,5,115,0,0
0.02,96,652,44,90,4,54,49,5,49,0,0
0.02,22,643,19,53,1,59,7,5,57,0,0
0.02,22,499,34,93,4,70,24,10,155,0,0
