Ag,B,Ba,Co,Cr,Mo,Ni,Pb,Sn,Zn,Binary,Quaternary
0.02,30,270,12,42,2,36,32,5,46,0,0
0.02,34,331,26,81,2,57,32,5,42,0,0
0.02,53,456,46,164,2,108,29,5,47,0,0
0.02,55,447,44,98,2,116,50,13,68,0,0
0.02,37,404,19,51,1,43,20,5,32,0,0
0.02,30,282,22,34,2,37,18,5,43,0,0
0.02,44,233,31,105,2,65,6,5,22,0,0
0.02,45,287,23,66,2,65,25,12,44,0,0
0.02,25,195,38,93,2,155,7,5,66,0,0
0.02,15,249,27,68,2,91,8,5,58,0,0
0.02,30,190,28,54,2,91,2,5,42,0,0
0.02,26,387,37,126,2,146,8,5,48,0,0
0.02,24,392,35,105,2,131,9,5,50,0,0
0.02,29,371,42,153,2,120,15,5,117,0,0
0.02,36,400,41,249,2,225,15,5,84,0,0
0.02,34,307,39,124,2,200,20,5,94,0,0
0.02,32,317,39,213,1,168,19,5,100,0,0
0.02,30,229,35,192,1,179,22,5,113,0,0
0.02,64,248,33,102,4,245,9,5,41,0,0
0.02,28,130,29,75,1,148,20,5,180,0,0
0.02,39,195,22,52,1,246,12,5,112,0,0
0.02,22,140,27,44,2,130,8,5,223,0,0
0.02,40,231,20,64,2,151,12,5,78,0,0
0.02,2,15,7,22,2,18,2,5,7,0,0
0.02,2,31,13,78,2,66,2,5,7,0,0
0.02,2,102,20,37,2,39,2,5,29,0,0
0.02,2,93,5,10,1,16,2,5,8,0,0
0.02,18,316,11,27,1,45,8,5,64,0,0
0.02,20,306,10,32,1,48,8,5,65,0,0
0.02,37,348,40,68,4,149,18,12,83,0,0
0.02,17,236,9,30,1,42,5,5,56,0,0
0.02,20,319,11,32,1,48,9,5,73,0,0
0.02,23,291,9,30,1,44,12,5,79,0,0
0.02,11,251,11,33,1,48,5,5,54,0,0
0.02,13,269,10,31,2,50,12,5,93,0,0
0.02,32,314,9,37,1,41,12,5,77,0,0
0.02,30,292,9,27,4,47,13,5,75,0,0
0.02,30,291,10,25,2,52,8,5,83,0,0
0.02,31,436,9,39,2,62,24,5,91,0,0
0.02,34,350,10,23,2,53,11,5,107,0,0
0.02,17,301,10,34,2,45,17,5,109,0,0
0.02,28,649,26,99,2,145,33,5,76,0,0
0.02,20,524,17,92,1,57,17,5,44,0,0
0.02,34,487,19,74,1,76,12,5,48,0,0
0.02,24,409,24,51,1,105,58,5,96,0,0
0.02,7,323,27,67,1,70,39,5,112,0,0
0.02,56,283,44,119,2,186,11,5,96,0,0
0.02,66,441,47,184,8,203,22,5,121,0,0
0.02,45,293,32,173,4,130,80,5,36,0,0
0.02,100,750,44,290,4,168,57,34,361,0,0
0.02,52,910,27,90,2,62,88,5,318,0,0
0.02,46,890,34,108,2,48,52,5,339,0,0
0.02,15,148,33,158,2,81,2,5,8,0,0
0.02,2,188,8,36,1,37,2,5,2,0,0
0.02,27,480,36,149,2,135,6,5,51,0,0
0.02,9,286,29,128,1,79,2,5,54,0,0
0.02,7,167,30,62,1,70,8,5,15,0,0
0.02,31,418,26,41,1,45,15,5,65,0,0
0.02,43,451,30,71,2,83,19,5,77,0,0
0.02,49,452,42,83,2,144,17,5,80,0,0
0.02,64,464,46,114,4,157,16,5,62,0,0
0.02,8,397,19,46,1,42,7,5,37,0,0
0.02,19,439,31,89,2,85,13,5,70,0,0
0.02,21,452,22,98,1,76,6,5,42,0,0
0.02,23,412,33,100,1,83,10,5,57,0,0
0.02,19,459,38,96,2,79,11,5,51,0,0
0.02,19,444,37,91,1,95,9,5,64,0,0
0.02,37,379,49,126,1,156,17,5,63,0,0
0.02,21,329,36,121,2,63,7,5,69,0,0
0.02,44,419,36,291,2,174,36,5,59,0,0
0.02,22,360,53,205,2,135,30,5,106,0,0
0.02,37,504,53,127,4,177,20,5,81,0,0
0.02,13,158,30,66,8,57,2,5,56,0,0
0.02,22,555,24,132,2,120,2,5,35,0,0
0.02,28,421,38,118,4,150,11,5,81,0,0
0.02,15,350,36,138,2,109,7,5,59,0,0
0.02,32,465,45,137,2,124,8,5,50,0,0
0.02,10,272,31,193,2,112,2,5,29,0,0
0.02,19,442,30,179,2,147,10,5,55,0,0
0.02,15,324,24,191,4,121,8,5,47,0,0
0.02,39,283,49,266,2,273,13,5,138,0,0
0.02,39,170,57,128,1,353,44,5,166,0,0
0.02,30,177,41,192,1,185,2,5,109,0,0
0.02,36,331,59,204,2,166,7,12,80,0,0
0.02,47,567,75,52,1,143,11,12,100,0,0
0.02,56,429,90,116,2,174,22,5,150,0,0
0.02,43,414,54,178,2,116,45,58,142,0,0
0.02,41,158,180,1200,2,1200,14,5,88,0,0
0.02,52,380,51,63,2,75,82,5,198,0,0
0.02,56,321,50,140,2,138,13,5,252,0,0
0.02,37,360,47,29,1,80,36,5,209,0,0
0.02,16,155,49,39,2,89,11,5,182,0,0
0.02,18,185,50,45,2,90,13,5,141,0,0
0.02,20,603,32,27,2,59,67,5,212,0,0
0.02,2,90,16,10,1,16,23,5,138,0,0
0.02,23,179,35,97,4,62,2,5,93,0,0
0.02,75,355,55,189,2,138,14,5,112,0,0
0.02,33,132,49,107,2,112,5,11,109,0,0
0.02,10,172,61,150,2,74,2,5,139,0,0
0.02,19,210,54,375,2,117,5,5,236,0,0
0.02,13,165,42,364,2,110,2,5,76,0,0
0.02,35,336,70,755,2,246,9,5,168,0,0
0.02,29,424,57,192,2,121,8,5,290,0,0
0.02,29,805,54,115,1,115,30,5,341,0,0
0.02,27,343,43,154,2,104,14,5,232,0,0
0.02,17,458,44,118,1,88,18,5,235,0,0
0.02,8,642,32,102,2,65,7,5,202,0,0
0.02,10,440,56,154,1,91,13,5,387,0,0
0.02,26,707,41,192,2,107,14,5,203,0,0
0.02,2,480,19,101,2,31,12,5,141,0,0
0.02,8,471,33,207,2,51,13,5,169,0,0
0.02,11,500,20,177,2,43,12,5,113,0,0
0.02,34,720,23,147,2,47,18,5,104,0,0
0.02,15,577,24,153,2,52,14,5,81,0,0
0.02,46,838,23,251,2,55,13,5,68,0,0
0.02,12,530,24,136,2,51,14,5,108,0,0
0.02,11,431,29,176,4,50,9,5,133,0,0
0.02,18,484,24,176,2,41,17,5,70,0,0
0.02,17,587,31,152,2,54,13,5,83,0,0
0.02,40,789,25,194,2,51,20,5,135,0,0
0.02,2,303,17,99,4,13,10,5,58,0,0
0.02,36,616,28,191,4,53,20,5,132,0,0
0.02,14,354,29,189,4,31,16,5,269,0,0
0.02,2,105,9,62,2,10,2,5,155,0,0
0.02,2,241,18,74,2,5,8,5,196,0,0
0.02,2,435,33,107,1,25,8,5,214,0,0
0.02,2,286,20,100,4,9,2,5,118,0,0
0.02,2,206,18,83,2,7,9,5,245,0,0
0.02,2,128,26,96,2,9,2,5,45,0,0
0.02,2,32,2,10,1,2,2,5,2,0,0
0.02,2,74,7,49,2,2,2,5,2,0,0
0.02,6,443,32,89,2,15,7,5,100,0,0
0.02,2,261,29,84,2,12,8,5,80,0,0
0.02,2,51,22,32,2,5,2,5,19,0,0
0.02,2,94,25,97,2,7,2,5,2,0,0
0.02,12,764,14,103,2,50,32,5,36,0,0
0.02,27,907,22,146,4,80,10,5,37,0,0
0.02,27,894,20,114,2,74,16,5,53,0,0
0.02,33,600,22,54,2,63,15,5,90,0,0
0.02,22,819,13,95,1,55,10,5,36,0,0
0.02,17,637,13,86,2,48,13,5,44,0,0
0.02,17,583,15,46,2,49,28,5,51,0,0
0.02,43,506,27,79,2,68,9,5,66,0,0
0.02,14,433,45,228,2,49,14,5,177,0,0
0.02,18,542,42,131,2,45,12,5,214,0,0
